episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,num_healthy_workers,trial_id,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-7025.808506814366,-9261.36558597124,-8112.181357017001,3000.0,20,60000,False,60000,20,1,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-18-55,1570763935,228.52161312103271,228.52161312103271,21927,ellie,10.0.0.158,228.52161312103271,60000,1,2,4dce3444,5.088170867479468,1.4314549290566863,0.7895048544933859,59904,60000,222168.726,70.708,5654.924,559.798,52.21559633027523,71.73363914373088,0.20000000298023224,4.999999873689376e-05,5841.9599609375,-0.010422835126519203,5841.9677734375,-6.949774251552299e-05,0.011039670556783676,1.3680330514907837,0.0
-5906.2140718487135,-9261.36558597124,-7658.758736087065,3000.0,20,60000,False,120000,40,2,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-22-36,1570764156,221.10058522224426,449.622198343277,21927,ellie,10.0.0.158,449.622198343277,120000,2,2,4dce3444,5.0538187367921905,1.4290795645209107,0.7888463681015899,119808,120000,219066.136,40.976,5381.374,282.127,51.92380952380953,71.6184126984127,0.20000000298023224,4.999999873689376e-05,4593.02490234375,-0.01005244255065918,4593.033203125,-4.692286529461853e-05,0.010486019775271416,1.318793773651123,0.0
-5013.736690034951,-9261.36558597124,-7143.2109891870605,3000.0,20,60000,False,180000,60,3,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-26-18,1570764378,222.16285920143127,671.7850575447083,21927,ellie,10.0.0.158,671.7850575447083,180000,3,2,4dce3444,5.039747437323658,1.428160692276646,0.788035512343128,179712,180000,218389.836,31.292,5285.999,189.445,51.99432176656152,71.66403785488959,0.20000000298023224,4.999999873689376e-05,3316.42529296875,-0.010575403459370136,3316.433837890625,-5.873668487765826e-05,0.011085903272032738,1.2667220830917358,0.0
-4456.1761653801295,-9261.36558597124,-6669.404688050863,3000.0,20,60000,False,240000,80,4,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-30-03,1570764603,225.03357934951782,896.8186368942261,21927,ellie,10.0.0.158,896.8186368942261,240000,4,2,4dce3444,5.030053462651056,1.4308519019395238,0.7870829591072147,239616,240000,218664.778,28.448,5340.407,143.086,51.666043613707174,71.84859813084113,0.20000000298023224,4.999999873689376e-05,2439.493896484375,-0.011184969916939735,2439.502685546875,-2.6020992663688958e-05,0.011975754983723164,1.2135356664657593,0.0
-3487.5620037295853,-9261.36558597124,-6321.31384678577,3000.0,20,60000,False,300000,100,5,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-34-12,1570764852,248.96133828163147,1145.7799751758575,21927,ellie,10.0.0.158,1145.7799751758575,300000,5,2,4dce3444,5.044428040388933,1.4386925304952547,0.7907806502716475,299520,300000,223430.825,25.437,5558.887,115.179,58.12845070422535,61.5149295774648,0.20000000298023224,4.999999873689376e-05,2172.185302734375,-0.011577743105590343,2172.194091796875,-7.91952152212616e-06,0.012583091855049133,1.164360523223877,0.0
-2854.9588710832304,-8096.150249372029,-5476.13577015095,3000.0,20,60000,False,360000,120,6,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-38-35,1570765115,262.6561372280121,1408.4361124038696,21927,ellie,10.0.0.158,1408.4361124038696,360000,6,2,4dce3444,5.073097671189653,1.4529774357459888,0.7989281480451976,359424,360000,228890.611,23.431,5704.099,96.898,59.342666666666666,45.55626666666667,0.20000000298023224,4.999999873689376e-05,1362.3341064453125,-0.012156374752521515,1362.3438720703125,-2.1534087863983586e-06,0.012464698404073715,1.1054127216339111,0.0
-2221.00948676975,-7149.132676521768,-4656.074478866747,3000.0,20,60000,False,420000,140,7,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-43-30,1570765410,294.7735686302185,1703.2096810340881,21927,ellie,10.0.0.158,1703.2096810340881,420000,7,2,4dce3444,5.153275956053091,1.4770714013878166,0.8140585646975877,419328,420000,236927.77,22.291,6257.975,83.76,65.39642857142857,49.371904761904766,0.20000000298023224,4.999999873689376e-05,870.5482788085938,-0.011359051801264286,870.5573120117188,-7.463316364919592e-07,0.011871282942593098,1.0494786500930786,0.0
-1452.2763886998616,-6322.268008276782,-3933.3365328160976,3000.0,20,60000,False,480000,160,8,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-49-08,1570765748,338.6552450656891,2041.8649260997772,21927,ellie,10.0.0.158,2041.8649260997772,480000,8,2,4dce3444,5.290933627345668,1.5120344816730351,0.8402113955101816,479232,480000,248612.429,21.439,6501.322,73.941,69.82111801242236,53.56438923395445,0.20000000298023224,4.999999873689376e-05,597.2427978515625,-0.012078477069735527,597.2522583007812,-4.884269628746551e-07,0.013157332316040993,0.9939395785331726,0.0
-1118.3189766642274,-6124.9506407198605,-3307.968411093388,3000.0,20,60000,False,540000,180,9,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-55-02,1570766102,353.79422402381897,2395.659150123596,21927,ellie,10.0.0.158,2395.659150123596,540000,9,2,4dce3444,5.480940687804025,1.55489631491183,0.8770157807184243,539136,540000,259234.077,20.498,6839.633,67.039,71.38452380952381,55.07023809523809,0.20000000298023224,4.999999873689376e-05,409.6300048828125,-0.013440164737403393,409.6407165527344,-6.151505260731938e-08,0.0134345144033432,0.9395018815994263,0.0
-810.4557983671579,-4998.431657411379,-2668.5023948431453,3000.0,20,60000,False,600000,200,10,fec93e2e40d94966abd856ec126a6b85,2019-10-10_20-59-46,1570766386,283.7291479110718,2679.388298034668,21927,ellie,10.0.0.158,2679.388298034668,600000,10,2,4dce3444,5.659735332467301,1.5931577852227674,0.9113241213176999,599040,600000,260963.121,19.964,6872.463,60.652,61.58444444444444,47.998024691358026,0.20000000298023224,4.999999873689376e-05,290.8235778808594,-0.011462359689176083,290.83251953125,-2.2670143096092943e-08,0.01251077651977539,0.8885784149169922,0.0
